case_id,patient_mass_kg,K_factor,force_angle_deg,force_x_N,force_y_N,force_z_N,yield_strength_Pa,max_equivalent_vonmises_stress_Pa,max_principal_stress_Pa,max_total_deformation_m,safety_factor_equivalent_min,safety_factor_neck_min,safety_factor_stem1_min,safety_factor_stem2_min
DP_001,50,2.0,0,981.0,0.0,0.0,827000000.0,304231772.3005215,334976368.12865126,0.00043907246812753634,2.718322263800527,2.7183222638005273,2.9095221103477864,5.711670789933695
DP_002,50,2.0,10,966.1,0.0,170.35,827000000.0,279517159.10494196,297829115.2304046,0.00038634746961557943,2.9586734590755874,2.958673459075587,3.168717929441923,7.241106235076658
DP_003,50,2.0,20,921.84,0.0,335.52,827000000.0,246309033.24832717,251631470.16536316,0.0003219241462016414,3.3575707276891626,3.357570727689162,3.598662240562687,10.308559505031315
DP_004,50,2.5,0,1226.25,0.0,0.0,827000000.0,380289710.57104015,418720457.04287285,0.0005488405997012546,2.1746578385152286,2.174657838515228,2.327617617340954,4.569336689846413
DP_005,50,2.5,10,1207.62,0.0,212.94,827000000.0,349394604.31590915,372284225.80348885,0.0004829314141994226,2.3669512630832115,2.366951263083211,2.534987771626206,5.792932026842302
DP_006,50,2.5,20,1152.3,0.0,419.4,827000000.0,307886286.3993497,314539334.25549036,0.000402405189981714,2.6860566271773605,2.6860566271773605,2.878929780824559,8.246847727730183
DP_007,50,3.0,0,1471.5,0.0,0.0,827000000.0,456347651.6161742,502464542.6310822,0.000658608732225367,1.8122148696747864,1.8122148696747864,1.939681412602115,3.807780483036153
DP_008,50,3.0,10,1449.14,0.0,255.52,827000000.0,419273223.1816056,446741206.47228235,0.0005795180481299746,1.9724608066415683,1.9724608066415676,2.1124912806780043,4.8274223856907765
DP_009,50,3.0,20,1382.76,0.0,503.28,827000000.0,369463538.66905475,377447200.2026413,0.0004828862341302631,2.23838055300169,2.2383805530016905,2.399108150402052,6.872373175296374
DP_010,50,3.5,0,1716.75,0.0,0.0,827000000.0,532405600.50662863,586208637.8818799,0.0007683768637987011,1.5533270108598407,1.5533270108598407,1.6625840214678156,3.263811921582215
DP_011,50,3.5,10,1690.67,0.0,298.11,827000000.0,489153778.15777695,521199721.5333622,0.0006761064936806774,1.6906748693930163,1.6906748693930165,1.810700613758403,4.137781747713789
DP_012,50,3.5,20,1613.22,0.0,587.16,827000000.0,431040794.9298357,440355067.0342957,0.0005633672779099367,1.918611903392156,1.9186119033921556,2.056378383199084,5.890605596700198
DP_013,50,4.0,0,1962.0,0.0,0.0,827000000.0,608463539.4105554,669952731.2923418,0.0008781449362551206,1.3591611434945639,1.359161143494564,1.4547610551605066,2.8558353949668476
DP_014,50,4.0,10,1932.19,0.0,340.7,827000000.0,559031215.1467636,595654822.3508253,0.0007726904386703429,1.4793449410206656,1.4793449410206654,1.5843677681657853,3.6205765730847994
